title,director,score
黑客帝国3：矩阵革命,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,8.8
你的名字。,导演: 新海诚 Makoto Shinkai,8.5
三块广告牌,导演: 马丁·麦克唐纳 Martin McDonagh,8.7
电锯惊魂,导演: 詹姆斯·温 James Wan,8.7
心迷宫,导演: 忻钰坤 Yukun Xin,8.7
达拉斯买家俱乐部,导演: 让-马克·瓦雷 Jean-Marc Vallée,8.8
疯狂原始人,导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,8.7
谍影重重3,导演: 保罗·格林格拉斯 Paul Greengrass,8.8
英雄本色,导演: 吴宇森 John Woo,8.6
上帝之城,导演: 费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund,9.0
小丑,导演: 托德·菲利普斯 Todd Phillips,8.7
风之谷,导演: 宫崎骏 Hayao Miyazaki,8.9
绿里奇迹,导演: 弗兰克·德拉邦特 Frank Darabont,8.9
爱在午夜降临前,导演: 理查德·林克莱特 Richard Linklater,8.9
title,director,score
海街日记,导演: 是枝裕和 Hirokazu Koreeda,8.8
纵横四海,导演: 吴宇森 John Woo,8.8
卢旺达饭店,导演: 特瑞·乔治 Terry George,8.9
心灵奇旅,导演: 彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,8.7
背靠背，脸对脸,导演: 黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,9.5
记忆碎片,导演: 克里斯托弗·诺兰 Christopher Nolan,8.7
疯狂的石头,导演: 宁浩 Hao Ning,8.6
雨中曲,导演: 斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,9.1
2001太空漫游,导演: 斯坦利·库布里克 Stanley Kubrick,8.9
无间道2,导演: 刘伟强 / 麦兆辉,8.7
岁月神偷,导演: 罗启锐 Alex Law,8.7
小偷家族,导演: 是枝裕和 Hirokazu Koreeda,8.7
忠犬八公物语,导演: 神山征二郎 Seijirô Kôyama,9.2
无敌破坏王,导演: 瑞奇·莫尔 Rich Moore,8.7
荒蛮故事,导演: 达米安·斯兹弗隆 Damián Szifron,8.8
冰川时代,导演: 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,8.6
爆裂鼓手,导演: 达米恩·查泽雷 Damien Chazelle,8.7
恐怖游轮,导演: 克里斯托弗·史密斯 Christopher Smith,8.5
牯岭街少年杀人事件,导演: 杨德昌 Edward Yang,8.9
东京教父,导演: 今敏 Satoshi Kon,9.0
贫民窟的百万富翁,导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,8.6
魔女宅急便,导演: 宫崎骏 Hayao Miyazaki,8.7
大佛普拉斯,导演: 黄信尧 Hsin-yao Huang,8.7
东邪西毒,导演: 王家卫 Kar Wai Wong,8.6
遗愿清单,导演: 罗伯·莱纳 Rob Reiner,8.7
title,director,score
你看起来好像很好吃,导演: 藤森雅也 Masaya Fujimori,8.9
可可西里,导演: 陆川 Chuan Lu,8.9
黑天鹅,导演: 达伦·阿罗诺夫斯基 Darren Aronofsky,8.6
城市之光,导演: Charles Chaplin,9.3
源代码,导演: 邓肯·琼斯 Duncan Jones,8.5
真爱至上,导演: 理查德·柯蒂斯 Richard Curtis,8.5
海边的曼彻斯特,导演: 肯尼斯·罗纳根 Kenneth Lonergan,8.6
末路狂花,导演: 雷德利·斯科特 Ridley Scott,8.9
波西米亚狂想曲,导演: 布莱恩·辛格 Bryan Singer,8.6
